,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Souillac,-20.5167,57.5167,294.46,81,13,4.78,MU,1631718069
1,Rikitea,-23.1203,-134.9692,296.25,73,64,7.59,PF,1631718277
2,Kaeo,-35.1,173.7833,288.89,97,100,3.03,NZ,1631718277
3,Busselton,-33.65,115.3333,284.31,83,100,9.22,AU,1631718277
4,Lebu,-37.6167,-73.65,284.33,68,1,2.07,CL,1631718278
5,Novo Aripuanã,-5.1206,-60.3797,309.53,35,24,1.63,BR,1631718278
6,Morón,-34.6534,-58.6198,291.49,39,0,2.24,AR,1631718278
7,Helena,46.5927,-112.0361,293.32,36,28,0.89,US,1631717884
8,Vao,-22.6667,167.4833,293.86,78,95,10.47,NC,1631718279
9,Alibag,18.6411,72.8792,301.19,84,98,4.9,IN,1631718279
10,Honningsvåg,70.9821,25.9704,280.01,81,75,2.57,NO,1631718279
11,East London,-33.0153,27.9116,290.93,57,100,8.42,ZA,1631718280
12,Cockburn Town,21.4612,-71.1419,301.61,78,91,6.83,TC,1631718280
13,Anloga,5.7947,0.8973,299.26,78,99,5.24,GH,1631718280
14,Dubai,25.2582,55.3047,309.31,56,0,3.6,AE,1631718232
15,Brønnøysund,65.4625,12.1997,288.15,55,0,4.12,NO,1631718281
16,Punta Arenas,-53.15,-70.9167,275.34,64,20,11.12,CL,1631718021
17,Mataura,-46.1927,168.8643,278.97,95,92,1.55,NZ,1631718281
18,Saint-Pierre,-21.3393,55.4781,295.97,70,0,4.63,RE,1631718282
19,Bengkulu,-3.8004,102.2655,298.57,88,16,3.16,ID,1631718282
20,Albany,42.6001,-73.9662,300.82,82,55,4.16,US,1631718022
21,Port Alfred,-33.5906,26.891,290.12,59,92,9.73,ZA,1631718282
22,Alice Springs,-23.7,133.8833,293.9,26,49,3.09,AU,1631718283
23,Orange Cove,36.6244,-119.3137,295.13,46,1,1.54,US,1631718283
24,Acaraú,-2.8856,-40.12,305.1,55,5,8.58,BR,1631718284
25,Saint George,37.1041,-113.5841,301.23,23,1,0.0,US,1631718038
26,Sakaiminato,35.55,133.2333,295.04,74,1,5.69,JP,1631718284
27,Dāmghān,36.1683,54.348,302.23,10,0,2.05,IR,1631718284
28,Thompson,55.7435,-97.8558,285.06,65,100,3.13,CA,1631718097
29,Torbay,47.6666,-52.7314,286.42,70,93,0.89,CA,1631718285
30,Itarema,-2.9248,-39.9167,305.06,54,2,8.39,BR,1631718285
31,Otradnoye,59.7775,30.8181,282.18,86,73,3.18,RU,1631718290
32,Cabo San Lucas,22.8909,-109.9124,300.66,83,1,0.45,MX,1631718012
33,Tuktoyaktuk,69.4541,-133.0374,277.68,75,11,3.02,CA,1631718291
34,Bluff,-46.6,168.3333,279.15,78,63,5.78,NZ,1631718291
35,Upernavik,72.7868,-56.1549,272.94,94,100,7.63,GL,1631718291
36,Arraial do Cabo,-22.9661,-42.0278,300.07,69,0,2.06,BR,1631718292
37,Karwar,14.8,74.1333,298.58,86,81,2.2,IN,1631718292
38,Qaanaaq,77.484,-69.3632,264.64,74,10,4.02,GL,1631718292
39,Atuona,-9.8,-139.0333,298.49,75,60,11.45,PF,1631718293
40,Ixtapa,20.7,-105.2,299.39,89,90,0.0,MX,1631718293
41,Honiara,-9.4333,159.95,297.91,88,100,1.95,SB,1631718209
42,Aswān,24.0934,32.907,311.82,15,0,7.89,EG,1631718294
43,Saint Paul Harbor,57.79,-152.4072,281.88,76,90,2.57,US,1631718294
44,Yumen,40.2833,97.2,293.92,28,0,4.11,CN,1631718294
45,Boyolangu,-8.1181,111.8935,296.95,93,70,1.2,ID,1631718295
46,Zaysan,47.4667,84.8667,288.7,18,50,2.53,KZ,1631718295
47,Jamestown,42.097,-79.2353,294.87,95,100,1.34,US,1631717999
48,Rundu,-17.9333,19.7667,308.91,6,9,1.97,NA,1631718295
49,Phanat Nikhom,13.4458,101.1844,300.31,95,98,2.6,TH,1631718296
50,Bethel,41.3712,-73.414,300.43,81,75,4.12,US,1631718057
51,Mount Gambier,-37.8333,140.7667,281.66,76,88,3.02,AU,1631718296
52,Benjamin Constant,-4.3831,-70.0311,303.22,78,0,2.57,BR,1631718296
53,Norfolk,42.1668,-71.2495,300.78,82,40,1.34,US,1631718297
54,Mossamedes,-15.1961,12.1522,293.45,72,18,5.36,AO,1631718297
55,Dicabisagan,17.0818,122.4157,299.22,89,12,1.39,PH,1631718297
56,Longyearbyen,78.2186,15.6401,275.06,69,20,1.03,SJ,1631718189
57,Vallenar,-28.5708,-70.7581,292.04,41,0,2.25,CL,1631718298
58,Lavrentiya,65.5833,-171.0,275.92,79,93,3.83,RU,1631718298
59,Nikolskoye,59.7035,30.7861,282.09,87,80,3.12,RU,1631718299
60,Butaritari,3.0707,172.7902,300.81,77,51,5.29,KI,1631718299
61,Saskylakh,71.9167,114.0833,279.27,96,100,6.28,RU,1631718299
62,Acapulco de Juárez,16.8634,-99.8901,299.93,79,92,0.97,MX,1631718024
63,Te Anau,-45.4167,167.7167,273.54,96,77,0.63,NZ,1631718300
64,Goya,-29.14,-59.2626,293.56,23,0,2.46,AR,1631718300
65,Ushuaia,-54.8,-68.3,272.76,64,86,7.2,AR,1631718115
66,Makakilo City,21.3469,-158.0858,296.01,87,90,2.57,US,1631718162
67,Mercedes,-34.6515,-59.4307,291.58,42,0,4.33,AR,1631718300
68,Riyadh,24.6877,46.7219,309.23,12,74,6.26,SA,1631718301
69,Tasiilaq,65.6145,-37.6368,279.24,99,100,3.95,GL,1631718301
70,Mathathane,-22.2687,28.7495,308.59,13,0,2.91,BW,1631718302
71,Ust-Kuyga,70.0167,135.6,279.3,75,97,1.26,RU,1631718304
72,Villa Carlos Paz,-31.4241,-64.4978,292.53,22,0,0.89,AR,1631718304
73,Chalmette,29.9427,-89.9634,299.18,79,90,1.79,US,1631718305
74,Ribeira Grande,38.5167,-28.7,296.37,73,40,2.57,PT,1631718305
75,Cherskiy,68.75,161.3,273.0,83,98,6.42,RU,1631718306
76,Hasaki,35.7333,140.8333,293.37,80,3,7.45,JP,1631718306
77,Kieta,-6.2167,155.6333,298.31,79,100,2.78,PG,1631718306
78,Narendranagar,30.1667,78.3,292.93,91,48,0.74,IN,1631718307
79,Hermanus,-34.4187,19.2345,290.32,65,25,3.37,ZA,1631718251
80,Udachny,66.4167,112.4,276.74,76,67,3.29,RU,1631718307
81,Kapaa,22.0752,-159.319,297.33,59,75,7.2,US,1631718308
82,Bambous Virieux,-20.3428,57.7575,294.38,78,14,4.57,MU,1631718308
83,Altay,47.8667,88.1167,286.69,16,66,2.9,CN,1631718309
84,Cayenne,4.9333,-52.3333,306.17,74,0,1.79,GF,1631718268
85,Lima,-12.0432,-77.0282,290.32,82,61,2.98,PE,1631718025
86,Eyl,7.9803,49.8164,301.51,64,98,10.01,SO,1631718138
87,Alta Floresta,-9.8756,-56.0861,309.11,37,24,0.41,BR,1631718309
88,Provincia di Imperia,43.9667,7.7833,296.57,86,98,2.8,IT,1631718310
89,Airai,-8.9266,125.4092,288.72,88,27,1.2,TL,1631718310
90,Katsuura,35.1333,140.3,295.21,85,35,6.02,JP,1631718311
91,Salym,60.0625,71.4789,279.88,98,100,3.42,RU,1631718311
92,Bougouni,11.417,-7.479,302.83,66,81,2.26,ML,1631718311
93,Nome,64.5011,-165.4064,279.19,93,40,0.0,US,1631718312
94,Tuatapere,-46.1333,167.6833,279.16,87,76,1.95,NZ,1631718312
95,São Filipe,14.8961,-24.4956,301.22,75,100,3.61,CV,1631718313
96,Nizwá,22.9333,57.5333,307.76,20,100,2.22,OM,1631718313
97,Manassas Park,38.784,-77.4697,302.55,69,1,1.34,US,1631718313
98,Vaini,-21.2,-175.2,296.24,100,20,2.06,TO,1631718313
99,Abhā,18.2164,42.5053,296.29,33,40,4.63,SA,1631718314
100,Alofi,-19.0595,-169.9187,298.47,72,65,7.74,NU,1631718314
101,Port Elizabeth,-33.918,25.5701,288.76,55,94,7.59,ZA,1631718017
102,Los Llanos de Aridane,28.6585,-17.9182,297.01,78,75,6.17,ES,1631718315
103,Mar del Plata,-38.0023,-57.5575,290.16,42,0,9.77,AR,1631718315
104,Zhuhai,22.2769,113.5678,304.66,74,0,5.14,CN,1631718316
105,Dandong,40.1292,124.3947,289.57,89,58,1.37,CN,1631718317
106,Lamar,33.6668,-95.5836,298.24,78,6,4.24,US,1631718317
107,Mezhdurechenskiy,59.6,65.9333,283.5,99,100,0.92,RU,1631718317
108,New Norfolk,-42.7826,147.0587,278.1,70,94,0.62,AU,1631718318
109,Great Yarmouth,52.6083,1.7305,292.84,76,1,7.3,GB,1631718129
110,Klaksvík,62.2266,-6.589,287.66,82,100,1.29,FO,1631718319
111,Bredasdorp,-34.5322,20.0403,289.42,60,71,4.67,ZA,1631718319
112,Port Hedland,-20.3167,118.5667,296.18,64,8,4.12,AU,1631718320
113,Folldal,62.1325,9.9968,285.17,67,100,2.24,NO,1631718320
114,Ostrovnoy,68.0531,39.5131,278.67,82,35,6.2,RU,1631718321
115,Hilo,19.7297,-155.09,299.42,68,1,3.6,US,1631718321
116,Grand Gaube,-20.0064,57.6608,294.47,78,7,3.13,MU,1631718321
117,College,64.8569,-147.8028,277.16,85,20,0.0,US,1631718322
118,Kaitangata,-46.2817,169.8464,278.62,87,55,3.91,NZ,1631718322
119,Zunyi,27.6867,106.9072,293.99,95,86,1.83,CN,1631718316
120,Truth or Consequences,33.1284,-107.2528,296.43,48,1,5.14,US,1631718144
121,Castro,-24.7911,-50.0119,294.03,81,99,2.18,BR,1631718323
122,Comé,6.4076,1.882,298.1,85,100,3.93,BJ,1631718323
123,Rurrenabaque,-14.4413,-67.5278,303.61,50,66,1.8,BO,1631718323
124,Oruzgan,32.8333,66.0,297.05,9,0,2.26,AF,1631718324
125,Margate,51.3813,1.3862,292.45,74,29,2.3,GB,1631718324
126,Clyde River,70.4692,-68.5914,272.47,55,4,2.32,CA,1631718325
127,Vardø,70.3705,31.1107,279.01,93,75,4.12,NO,1631718189
128,Aiken,33.5835,-81.5998,301.54,83,40,2.57,US,1631718325
129,Terekli-Mekteb,44.1671,45.8698,300.58,28,0,5.69,RU,1631718326
130,Vila,42.0304,-8.1588,292.98,70,76,2.08,PT,1631718326
131,Barrow,71.2906,-156.7887,276.16,93,90,5.66,US,1631718151
132,Awjilah,29.1081,21.2869,305.26,20,0,5.21,LY,1631718288
133,Usinsk,65.9939,57.5281,279.59,79,100,5.33,RU,1631718327
134,Cape Town,-33.9258,18.4232,290.44,55,6,0.89,ZA,1631718327
135,Nacala,-14.5428,40.6728,298.62,65,16,4.25,MZ,1631718328
136,George Town,5.4112,100.3354,301.42,80,20,0.0,MY,1631718328
137,Tual,-5.6667,132.75,300.44,82,98,7.41,ID,1631718329
138,Sawākin,19.1059,37.3321,307.02,43,79,5.63,SD,1631718329
139,Makokou,0.5738,12.8642,301.97,63,51,1.19,GA,1631718329
140,Isangel,-19.55,169.2667,296.72,89,91,3.21,VU,1631718330
141,Il’inskiy,55.619,38.1182,285.99,44,0,5.0,RU,1631718330
142,Saint-Leu,-21.15,55.2833,295.63,73,21,1.51,RE,1631718331
143,Dukat,62.55,155.55,276.44,77,87,1.5,RU,1631718331
144,Uíge,-7.6087,15.0613,299.66,64,56,1.18,AO,1631718331
145,Oistins,13.0667,-59.5333,305.2,66,40,6.69,BB,1631718332
146,Codrington,-38.2667,141.9667,282.22,72,100,3.17,AU,1631718332
147,Hubli,15.35,75.1667,294.92,91,44,4.8,IN,1631718332
148,Naze,28.3667,129.4833,299.33,85,100,6.83,JP,1631718332
149,Lensk,60.7253,114.9278,277.28,95,29,1.73,RU,1631718333
150,San Patricio,28.017,-97.5169,300.38,74,93,4.84,US,1631718333
151,Kahului,20.8947,-156.47,295.74,78,1,0.0,US,1631718333
152,Ürümqi,43.801,87.6005,295.68,27,0,4.0,CN,1631717882
153,Rudnogorsk,57.2639,103.7519,274.43,77,81,1.8,RU,1631718334
154,Hithadhoo,-0.6,73.0833,300.65,75,79,3.2,MV,1631718334
155,Union,40.6334,-74.2663,302.69,76,40,2.06,US,1631718334
156,Charagua,-19.8,-63.2167,289.75,43,100,2.54,BO,1631718335
157,Aklavik,68.2191,-135.0107,279.86,75,73,2.28,CA,1631718335
158,Mahébourg,-20.4081,57.7,294.4,78,13,4.71,MU,1631718070
159,Faanui,-16.4833,-151.75,299.14,68,4,8.13,PF,1631718335
160,Polovinnoye,54.7914,65.9864,289.55,36,97,4.01,RU,1631718336
161,Wasilla,61.5814,-149.4394,280.83,93,90,0.0,US,1631718233
162,San Miguel de Tucumán,-26.8241,-65.2226,294.27,21,0,1.71,AR,1631718336
163,Colares,38.7992,-9.4469,297.58,72,40,1.54,PT,1631718233
164,Ileza,61.0533,43.9002,277.33,95,99,3.24,RU,1631718337
165,Opuwo,-18.0607,13.84,305.55,12,3,6.2,NA,1631718337
166,Khorinsk,52.1657,109.7726,279.97,61,21,1.26,RU,1631718337
167,Kollam,8.8833,76.6,300.08,89,8,4.04,IN,1631718338
168,Tolga,34.7222,5.3785,310.91,16,87,5.98,DZ,1631718338
169,Tiksi,71.6872,128.8694,277.18,94,100,4.05,RU,1631718339
170,Port-Gentil,-0.7193,8.7815,298.45,82,89,5.35,GA,1631718339
171,San Quintín,30.4833,-115.95,294.24,75,0,4.44,MX,1631718339
172,Huarmey,-10.0681,-78.1522,292.25,73,75,4.55,PE,1631718340
173,Tautira,-17.7333,-149.15,296.16,74,20,6.98,PF,1631718340
174,São João da Barra,-21.6403,-41.0511,304.2,73,20,4.14,BR,1631718308
175,Kalabo,-14.97,22.6814,310.13,10,85,1.74,ZM,1631718341
176,Avarua,-21.2078,-159.775,296.18,88,75,3.09,CK,1631718341
177,Itoman,26.1247,127.6694,302.16,79,40,7.72,JP,1631718341
178,Griffith,41.5284,-87.4237,296.19,61,1,0.45,US,1631718342
179,Saint-Philippe,-21.3585,55.7679,295.92,84,54,5.62,RE,1631718343
180,San Onofre,9.7359,-75.5263,300.33,83,100,2.44,CO,1631718343
181,Lakselv,70.0513,24.9718,281.05,71,75,1.03,NO,1631718343
182,Kontagora,10.3999,5.4695,301.94,68,89,1.89,NG,1631718343
183,Hambantota,6.1241,81.1185,301.34,89,20,4.63,LK,1631718344
184,Iracoubo,5.4802,-53.2011,303.41,63,5,3.51,GF,1631718073
185,Guerrero Negro,27.9769,-114.0611,295.37,76,1,6.23,MX,1631718345
186,Mangai,-4.05,19.5333,306.42,37,85,1.74,CD,1631718345
187,Varkaus,62.3153,27.873,280.54,68,100,3.07,FI,1631718346
188,‘Āhuimanu,21.4447,-157.8378,297.99,79,75,2.06,US,1631718346
189,Saint-Joseph,-21.3667,55.6167,295.36,80,29,4.25,RE,1631718347
190,Stary Krym,45.0333,35.1,294.39,43,67,3.37,UA,1631718347
191,Ascension,30.2169,-90.9001,300.15,97,63,3.58,US,1631718347
192,Nsukka,6.8561,7.3927,300.66,69,93,0.93,NG,1631718348
193,Dedovichi,57.5517,29.9502,283.16,61,75,4.55,RU,1631718348
194,Rome,43.2128,-75.4557,299.21,88,90,2.57,US,1631718144
195,Rio de Janeiro,-22.9028,-43.2075,309.99,64,20,7.72,BR,1631718203
196,Rovenki,48.0833,39.3776,292.13,21,0,3.37,UA,1631718349
197,Narsaq,60.9167,-46.05,278.27,37,0,1.5,GL,1631718071
198,Sitka,57.0531,-135.33,282.09,93,75,2.06,US,1631718349
199,Haines Junction,60.7522,-137.5108,277.53,87,100,1.46,CA,1631718349
200,Cidreira,-30.1811,-50.2056,289.46,49,1,5.18,BR,1631718350
201,Martyush,56.4,61.8819,287.31,82,100,4.08,RU,1631718350
202,Nyírtelek,48.0167,21.6333,302.18,33,5,2.66,HU,1631718350
203,Talnakh,69.4865,88.3972,277.25,90,100,2.98,RU,1631718351
204,Utete,-7.986,38.758,301.48,53,99,4.48,TZ,1631718351
205,Yaya,56.206,86.44,282.39,98,100,1.87,RU,1631718351
206,Portland,45.5234,-122.6762,290.16,70,75,0.89,US,1631718147
207,Douentza,14.9951,-2.9517,309.22,34,64,4.96,ML,1631718352
208,Porto Santo,33.072,-16.3415,301.1,69,40,6.17,PT,1631718352
209,Altayskoye,51.9533,85.3325,286.58,55,77,1.53,RU,1631718353
210,Mount Isa,-20.7333,139.5,289.02,33,7,0.0,AU,1631718069
211,Bereket,39.2446,55.5154,304.0,40,0,2.36,TM,1631718353
212,Hay River,60.8156,-115.7999,284.13,93,75,5.14,CA,1631718353
213,Narrabri,-30.3167,149.7833,282.2,71,0,4.12,AU,1631718354
214,Cururupu,-1.8283,-44.8683,303.99,59,22,3.66,BR,1631718354
215,Carauari,-4.8828,-66.8958,306.46,47,58,1.54,BR,1631718354
216,Praia,14.9215,-23.5087,303.45,66,75,6.17,CV,1631718331
217,Rahimatpur,17.6,74.2,294.64,90,93,3.05,IN,1631718355
218,Nanortalik,60.1432,-45.2371,277.83,69,0,2.05,GL,1631718355
219,Hofn,64.2539,-15.2082,285.16,94,90,1.54,IS,1631718355
220,Korla,41.7597,86.1469,298.22,28,0,2.06,CN,1631718356
221,Lorengau,-2.0226,147.2712,299.94,80,98,5.51,PG,1631718356
222,Constitución,-35.3333,-72.4167,286.81,51,4,3.23,CL,1631718356
223,Kondinskoye,59.6481,67.41,283.47,99,100,2.59,RU,1631718360
224,Kalmunai,7.4167,81.8167,303.52,67,96,2.36,LK,1631718360
225,Timrå,62.487,17.3257,285.99,71,42,4.63,SE,1631718360
226,Sioux Lookout,50.1001,-91.917,286.71,64,2,1.86,CA,1631718361
227,Chokurdakh,70.6333,147.9167,270.31,87,17,1.47,RU,1631718361
228,Port Lincoln,-34.7333,135.8667,286.18,81,1,8.13,AU,1631718362
229,Srednekolymsk,67.45,153.6833,278.57,82,97,5.17,RU,1631718362
230,Puerto Ayora,-0.7393,-90.3518,292.9,92,88,0.89,EC,1631718362
231,Coyhaique,-45.5752,-72.0662,285.49,58,40,2.06,CL,1631718252
232,Douglas,41.3,-96.167,294.34,81,1,1.79,US,1631718363
233,Sambava,-14.2667,50.1667,296.29,83,66,5.52,MG,1631718363
234,Laas,46.6166,10.7002,294.83,87,100,1.5,IT,1631718364
235,Lerwick,60.1545,-1.1494,287.15,85,100,5.62,GB,1631718364
236,Celestún,20.8667,-90.4,301.25,72,100,4.67,MX,1631718364
237,Stykkisholmur,65.0757,-22.7297,282.7,63,62,0.58,IS,1631718365
238,Verāval,20.9,70.3667,300.56,92,99,5.72,IN,1631718365
239,Evensk,61.95,159.2333,278.94,80,100,1.31,RU,1631718366
240,Camopi,3.1655,-52.3158,307.32,40,13,1.6,GF,1631718366
241,Mormugao,15.4,73.8,299.29,83,100,3.59,IN,1631718366
242,Bukama,-9.2,25.85,308.33,25,76,0.81,CD,1631718367
243,Tutóia,-2.7619,-42.2744,305.14,57,5,6.63,BR,1631718367
244,Waingapu,-9.6567,120.2641,299.36,80,99,2.41,ID,1631718367
245,Kysyl-Syr,63.8986,122.7617,276.52,95,80,1.8,RU,1631718368
246,Provideniya,64.3833,-173.3,276.85,90,100,3.04,RU,1631718368
247,Kumul,42.8,93.45,298.95,16,0,2.77,CN,1631718368
248,Hirara,24.8,125.2833,301.5,77,34,3.48,JP,1631718369
249,Jasrāna,27.25,78.6833,298.73,82,95,7.4,IN,1631718369
250,Salalah,17.0151,54.0924,301.2,89,90,3.6,OM,1631718370
251,Praia da Vitória,38.7333,-27.0667,297.46,75,10,1.76,PT,1631718370
252,Olafsvik,64.8945,-23.7142,281.99,65,45,2.52,IS,1631718370
253,Chui,-33.6971,-53.4616,287.43,52,0,3.14,UY,1631718370
254,Ilulissat,69.2167,-51.1,273.16,74,90,6.17,GL,1631718371
255,Birao,10.2849,22.7882,303.34,66,59,1.9,CF,1631718371
256,Beringovskiy,63.05,179.3167,278.41,80,97,5.61,RU,1631718372
257,Burla,21.5,83.8667,300.56,96,100,1.74,IN,1631718372
258,Okha,53.5739,142.9478,283.77,80,0,4.29,RU,1631718372
259,Marsá Maţrūḩ,31.3525,27.2453,299.42,56,0,7.94,EG,1631718373
260,Taoudenni,22.6783,-3.9836,317.83,9,25,2.5,ML,1631718373
261,Natal,-5.795,-35.2094,298.51,94,90,7.72,BR,1631718230
262,Lompoc,34.6391,-120.4579,286.77,94,90,0.0,US,1631717811
263,Cabatuan,10.8794,122.486,297.82,86,93,2.34,PH,1631718374
264,Mandera,3.9366,41.867,307.59,27,31,7.21,KE,1631718374
265,Camacha,33.0833,-16.3333,299.56,69,40,6.17,PT,1631718374
266,General Pico,-35.6566,-63.7568,291.14,32,0,4.71,AR,1631718097
267,Mananjary,-21.2167,48.3333,295.32,80,2,4.45,MG,1631718375
268,Bismarck,46.8083,-100.7837,291.41,79,1,4.63,US,1631717943
269,Quatre Cocos,-20.2078,57.7625,294.31,78,14,4.56,MU,1631718375
270,Carnarvon,-24.8667,113.6333,292.19,72,7,3.6,AU,1631718376
271,Languyan,5.2618,120.0807,298.69,85,57,0.56,PH,1631718376
272,Polewali,-3.4324,119.3435,297.49,88,82,1.28,ID,1631718376
273,Yeppoon,-23.1333,150.7333,284.03,62,0,1.09,AU,1631718377
274,Angoche,-16.2325,39.9086,298.86,70,4,6.11,MZ,1631718134
275,Bystrzyca Kłodzka,50.3018,16.6423,298.29,57,100,2.76,PL,1631718377
276,Norman Wells,65.282,-126.8329,279.98,94,100,0.98,CA,1631718232
277,Siguiri,11.6667,-9.5,300.0,76,100,1.14,GN,1631718377
278,Nishihara,26.1842,127.7558,301.75,79,40,7.72,JP,1631718378
279,Ambulu,-8.345,113.6058,297.36,94,99,1.2,ID,1631718378
280,Hobart,-42.8794,147.3294,278.3,87,93,4.63,AU,1631718378
281,Lagoa,39.05,-27.9833,294.22,68,7,1.66,PT,1631718187
282,Roebourne,-20.7833,117.1333,294.3,63,4,6.14,AU,1631718379
283,Semikarakorsk,47.5194,40.8112,298.6,27,9,5.83,RU,1631718379
284,Porto-Novo,6.4965,2.6036,300.57,73,98,3.74,BJ,1631718187
285,Pevek,69.7008,170.3133,272.34,85,99,5.2,RU,1631718380
286,Carutapera,-1.195,-46.02,303.68,62,18,4.58,BR,1631718380
287,Paamiut,61.994,-49.6678,276.4,61,0,9.75,GL,1631718381
288,Salaga,8.5508,-0.5188,300.17,83,95,2.08,GH,1631718381
289,Leningradskiy,69.3833,178.4167,270.04,96,95,0.69,RU,1631718381
290,Stende,57.15,22.5333,287.56,56,29,2.48,LV,1631718382
291,Berdigestyakh,62.0989,126.6992,280.42,97,100,3.58,RU,1631718382
292,Tucumã,-0.1833,-50.05,305.53,52,0,3.31,BR,1631718382
293,Ola,59.5833,151.2833,281.03,82,84,2.35,RU,1631718383
294,Khatanga,71.9667,102.5,279.82,80,100,3.29,RU,1631718383
